id,label
elements,elements
security,security
aluminum,aluminum
cost,cost
helium,helium
hydrogen,hydrogen
nitrogen,nitrogen
iron,iron
crime,crime
carbon,carbon
calcium,calcium
light,light
oxygen,oxygen
zinc,zinc
channels,channels
television,television
Internet,Internet
operations,operations
management,management
ideals,ideals
human,human
rights,rights
speech,speech
freedom,freedom
benefits,benefits
services,services
mediation,mediation
marketing,marketing
health,health
removal,removal
shipping,shipping
consultation,consultation
Internet,Internet
personnel,personnel
care,care
response,response
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
support,support
customer,customer
software,software
Windows,Windows
spreadsheet,spreadsheet
planning,planning
exchange,exchange
distribution,distribution
banking,banking
family,family
dialysis,dialysis
management,management
child,child
placement,placement
monitoring,monitoring
access,access
voice,voice
translation,translation
trust,trust
physician,physician
storage,storage
data,data
names,names
use,use
GDP,GDP
temperature,temperature
rates,rates
police,police
housing,housing
treatment,treatment
processing,processing
telephone,telephone
training,training
control,control
funds,funds
Fund,Fund
accommodation,accommodation
surgery,surgery
insurance,insurance
prenatal,prenatal
therapy,therapy
emergency,emergency
guidance,guidance
e-mail,e-mail
repair,repair
assistance,assistance
transportation,transportation
home,home
development,development
protection,protection
retirement,retirement
Social,Social
pension,pension
life,life
dental,dental
Security,Security
productivity,productivity
coverage,coverage
allies,allies
Japan,Japan
bodies,bodies
World,World
International,International
Nations,Nations
Committee,Committee
Union,Union
Bank,Bank
Congress,Congress
United,United
services,services
mediation,mediation
marketing,marketing
health,health
removal,removal
shipping,shipping
consultation,consultation
Internet,Internet
personnel,personnel
care,care
response,response
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
support,support
customer,customer
software,software
Windows,Windows
spreadsheet,spreadsheet
planning,planning
exchange,exchange
distribution,distribution
banking,banking
family,family
dialysis,dialysis
management,management
child,child
placement,placement
monitoring,monitoring
access,access
voice,voice
translation,translation
trust,trust
physician,physician
storage,storage
data,data
names,names
use,use
GDP,GDP
temperature,temperature
rates,rates
police,police
housing,housing
treatment,treatment
processing,processing
telephone,telephone
training,training
control,control
funds,funds
Fund,Fund
accommodation,accommodation
surgery,surgery
insurance,insurance
prenatal,prenatal
therapy,therapy
emergency,emergency
guidance,guidance
e-mail,e-mail
repair,repair
assistance,assistance
transportation,transportation
home,home
development,development
Association,Association
Organization,Organization
Council,Council
effects,effects
gain,gain
diarrhea,diarrhea
disruption,disruption
constipation,constipation
radiation,radiation
headache,headache
problems,problems
system,system
unemployment,unemployment
drug,drug
pressure,pressure
environment,environment
pollution,pollution
anxiety,anxiety
delinquency,delinquency
commitment,commitment
blood,blood
rates,rates
breath,breath
alcoholism,alcoholism
pregnancy,pregnancy
rights,rights
speech,speech
freedom,freedom
crime,crime
housing,housing
change,change
breakdown,breakdown
depression,depression
shortness,shortness
cancer,cancer
illness,illness
injustice,injustice
racism,racism
disorders,disorders
cord,cord
atrophy,atrophy
stroke,stroke
pain,pain
syndrome,syndrome
hypertension,hypertension
schizophrenia,schizophrenia
obesity,obesity
spinal,spinal
multiple,multiple
injury,injury
autism,autism
ALS,ALS
addiction,addiction
dementia,dementia
epilepsy,epilepsy
disease,disease
diabetes,diabetes
asthma,asthma
heart,heart
sclerosis,sclerosis
malaria,malaria
climate,climate
failure,failure
control,control
nausea,nausea
performance,performance
substance,substance
fear,fear
AIDS,AIDS
poverty,poverty
air,air
abuse,abuse
erosion,erosion
growth,growth
damage,damage
loss,loss
attack,attack
alcohol,alcohol
development,development
violence,violence
water,water
chronic disease,chronic disease
disease,disease
diabetes,diabetes
asthma,asthma
heart,heart
research,research
studies,studies
matters,matters
welfare,welfare
selection,selection
advice,advice
privacy,privacy
costs,costs
services,services
mediation,mediation
marketing,marketing
health,health
removal,removal
shipping,shipping
consultation,consultation
Internet,Internet
personnel,personnel
care,care
response,response
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
support,support
customer,customer
software,software
Windows,Windows
spreadsheet,spreadsheet
planning,planning
exchange,exchange
distribution,distribution
banking,banking
family,family
dialysis,dialysis
management,management
child,child
placement,placement
monitoring,monitoring
access,access
voice,voice
translation,translation
trust,trust
physician,physician
storage,storage
data,data
names,names
use,use
GDP,GDP
temperature,temperature
rates,rates
police,police
housing,housing
treatment,treatment
processing,processing
telephone,telephone
training,training
control,control
funds,funds
Fund,Fund
accommodation,accommodation
surgery,surgery
insurance,insurance
prenatal,prenatal
therapy,therapy
emergency,emergency
guidance,guidance
e-mail,e-mail
repair,repair
assistance,assistance
transportation,transportation
home,home
development,development
depreciation,depreciation
interest,interest
overhead,overhead
cost,cost
enforcement,enforcement
finance,finance
protection,protection
rights,rights
speech,speech
freedom,freedom
age,age
projects,projects
studies,studies
University,University
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
marriage,marriage
copyright,copyright
procedure,procedure
divorce,divorce
disabilities,disabilities
palsy,palsy
autism,autism
retardation,retardation
mental,mental
infrastructure,infrastructure
network,network
transportation,transportation
communications,communications
roads,roads
housing,housing
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
systems,systems
aircraft,aircraft
security,security
documentation,documentation
data,data
names,names
use,use
GDP,GDP
temperature,temperature
rates,rates
institutes,institutes
Institute,Institute
Center,Center
abnormalities,abnormalities
disease,disease
diabetes,diabetes
asthma,asthma
heart,heart
emerging markets,emerging markets
India,India
China,China
technology,technology
computer,computer
systems,systems
aircraft,aircraft
security,security
organs,organs
lungs,lungs
liver,liver
heart,heart
kidney,kidney
lung,lung
positions,positions
secretary,secretary
President,President
management,management
difficulties,difficulties
problems,problems
system,system
unemployment,unemployment
drug,drug
pressure,pressure
environment,environment
pollution,pollution
anxiety,anxiety
delinquency,delinquency
commitment,commitment
blood,blood
rates,rates
breath,breath
alcoholism,alcoholism
pregnancy,pregnancy
rights,rights
speech,speech
freedom,freedom
crime,crime
housing,housing
change,change
breakdown,breakdown
depression,depression
shortness,shortness
cancer,cancer
illness,illness
injustice,injustice
racism,racism
disorders,disorders
cord,cord
atrophy,atrophy
stroke,stroke
pain,pain
syndrome,syndrome
hypertension,hypertension
schizophrenia,schizophrenia
obesity,obesity
spinal,spinal
multiple,multiple
injury,injury
autism,autism
ALS,ALS
addiction,addiction
dementia,dementia
epilepsy,epilepsy
disease,disease
diabetes,diabetes
asthma,asthma
heart,heart
sclerosis,sclerosis
malaria,malaria
climate,climate
failure,failure
control,control
nausea,nausea
performance,performance
substance,substance
fear,fear
AIDS,AIDS
poverty,poverty
air,air
abuse,abuse
erosion,erosion
growth,growth
damage,damage
loss,loss
attack,attack
alcohol,alcohol
development,development
violence,violence
water,water
means,means
telephone,telephone
television,television
communications,communications
categories,categories
services,services
mediation,mediation
marketing,marketing
health,health
removal,removal
shipping,shipping
consultation,consultation
Internet,Internet
personnel,personnel
care,care
response,response
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
support,support
customer,customer
software,software
Windows,Windows
spreadsheet,spreadsheet
planning,planning
exchange,exchange
distribution,distribution
banking,banking
family,family
dialysis,dialysis
management,management
child,child
placement,placement
monitoring,monitoring
access,access
voice,voice
translation,translation
trust,trust
physician,physician
storage,storage
data,data
names,names
use,use
GDP,GDP
temperature,temperature
rates,rates
police,police
housing,housing
treatment,treatment
processing,processing
telephone,telephone
training,training
control,control
funds,funds
Fund,Fund
accommodation,accommodation
surgery,surgery
insurance,insurance
prenatal,prenatal
therapy,therapy
emergency,emergency
guidance,guidance
e-mail,e-mail
repair,repair
assistance,assistance
transportation,transportation
home,home
development,development
powers,powers
Iran,Iran
details,details
numbers,numbers
age,age
values,values
fairness,fairness
health,health
freedom,freedom
honesty,honesty
democracy,democracy
equipment,equipment
systems,systems
aircraft,aircraft
security,security
nations,nations
United,United
Vietnam,Vietnam
China,China
India,India
States,States
Kingdom,Kingdom
France,France
Union,Union
England,England
Peru,Peru
Iran,Iran
Argentina,Argentina
Brazil,Brazil
Japan,Japan
Cuba,Cuba
Mexico,Mexico
Canada,Canada
Britain,Britain
needs,needs
costs,costs
services,services
mediation,mediation
marketing,marketing
health,health
removal,removal
shipping,shipping
consultation,consultation
Internet,Internet
personnel,personnel
care,care
response,response
facilities,facilities
pool,pool
shop,shop
library,library
centers,centers
Center,Center
Hospital,Hospital
laboratory,laboratory
store,store
center,center
station,station
stations,stations
support,support
customer,customer
software,software
Windows,Windows
spreadsheet,spreadsheet
planning,planning
exchange,exchange
distribution,distribution
banking,banking
family,family
dialysis,dialysis
management,management
child,child
placement,placement
monitoring,monitoring
access,access
voice,voice
translation,translation
trust,trust
physician,physician
storage,storage
data,data
names,names
use,use
GDP,GDP
temperature,temperature
rates,rates
police,police
housing,housing
treatment,treatment
processing,processing
telephone,telephone
training,training
control,control
funds,funds
Fund,Fund
accommodation,accommodation
surgery,surgery
insurance,insurance
prenatal,prenatal
therapy,therapy
emergency,emergency
guidance,guidance
e-mail,e-mail
repair,repair
assistance,assistance
transportation,transportation
home,home
development,development
depreciation,depreciation
interest,interest
overhead,overhead
cost,cost
maintenance,maintenance
places,places
stations,stations
Mexico,Mexico
Texas,Texas
University,University
Japan,Japan
California,California
Gulf,Gulf
Paris,Paris
Chicago,Chicago
China,China
centers,centers
Center,Center
Africa,Africa
Asia,Asia
Canada,Canada
Russia,Russia
India,India
devices,devices
memory,memory
PC,PC
tubes,tubes
systems,systems
aircraft,aircraft
security,security
sets,sets
aids,aids
