Source	Target
systems	aircraft
positions	secretary
services	mediation
matters	welfare
elements	security
problems	system
services	marketing
effects	gain
effects	diarrhea
facilities	pool
services	health
facilities	shop
problems	unemployment
data	names
technology	computer
devices	memory
values	fairness
emerging markets	India
nations	United
problems	drug
services	removal
elements	aluminum
places	stations
services	shipping
bodies	World
nations	Vietnam
matters	selection
values	health
elements	cost
effects	disruption
infrastructure	network
services	consultation
details	numbers
infrastructure	transportation
problems	pressure
places	Mexico
problems	environment
institutes	Institute
disorders	cord
bodies	International
details	age
places	Texas
services	Internet
elements	helium
problems	pollution
organs	lungs
problems	anxiety
organs	liver
services	personnel
services	care
problems	delinquency
software	Windows
services	response
services	facilities
facilities	library
services	support
matters	advice
elements	hydrogen
needs	costs
facilities	centers
ideals	human
devices	PC
problems	commitment
problems	blood
services	customer
nations	China
problems	rates
services	software
costs	services
problems	breath
bodies	Nations
bodies	Committee
software	spreadsheet
positions	President
problems	alcoholism
elements	nitrogen
matters	privacy
benefits	services
places	University
effects	constipation
nations	India
disabilities	palsy
nations	States
equipment	systems
problems	pregnancy
problems	rights
matters	costs
services	planning
matters	enforcement
data	use
bodies	Union
needs	maintenance
effects	radiation
services	exchange
services	distribution
services	banking
services	family
bodies	Bank
services	dialysis
facilities	Hospital
problems	crime
effects	headache
nations	Kingdom
disorders	atrophy
problems	housing
nations	France
infrastructure	communications
services	management
places	Japan
problems	change
projects	studies
services	child
problems	breakdown
services	placement
means	telephone
nations	Union
matters	finance
benefits	protection
documentation	data
places	California
means	television
disorders	stroke
problems	depression
data	GDP
places	Gulf
problems	shortness
benefits	retirement
services	monitoring
nations	England
places	Paris
facilities	laboratory
powers	Iran
matters	protection
difficulties	problems
disorders	pain
problems	cancer
values	freedom
disorders	syndrome
values	honesty
nations	Peru
problems	illness
nations	Iran
facilities	store
services	access
matters	rights
problems	injustice
problems	racism
effects	problems
services	voice
problems	disorders
bodies	Congress
costs	depreciation
problems	malaria
problems	climate
benefits	Social
places	Chicago
elements	iron
bodies	United
rights	speech
problems	failure
problems	control
services	translation
devices	tubes
nations	Argentina
facilities	center
services	trust
problems	nausea
systems	security
services	physician
problems	performance
benefits	pension
costs	interest
values	democracy
services	storage
services	data
services	police
places	China
benefits	life
disorders	hypertension
services	housing
nations	Brazil
disorders	schizophrenia
projects	University
services	treatment
services	processing
disorders	obesity
services	telephone
matters	age
elements	crime
services	training
benefits	dental
costs	overhead
facilities	station
means	communications
elements	carbon
research	studies
matters	projects
problems	substance
nations	Japan
nations	Cuba
problems	fear
services	control
facilities	stations
disorders	spinal
elements	calcium
places	centers
rights	freedom
ideals	rights
chronic disease	disease
disorders	multiple
problems	AIDS
elements	light
bodies	services
matters	marriage
problems	poverty
funds	Fund
disabilities	autism
disorders	injury
organs	heart
disease	diabetes
problems	air
services	funds
channels	television
services	accommodation
services	surgery
organs	kidney
emerging markets	China
organs	lung
services	insurance
bodies	Association
centers	Center
problems	abuse
services	prenatal
benefits	Security
disease	asthma
devices	systems
problems	erosion
disease	heart
technology	systems
positions	management
matters	copyright
services	therapy
problems	growth
nations	Mexico
services	emergency
nations	Canada
categories	services
institutes	Center
operations	management
problems	damage
data	temperature
abnormalities	disease
disorders	autism
problems	loss
disorders	ALS
infrastructure	roads
projects	facilities
costs	cost
problems	attack
disabilities	retardation
places	Africa
services	guidance
devices	sets
devices	aids
services	e-mail
disabilities	mental
benefits	productivity
disorders	addiction
services	repair
problems	alcohol
elements	oxygen
benefits	coverage
services	assistance
disorders	dementia
places	Asia
bodies	Organization
channels	Internet
services	transportation
matters	procedure
problems	development
problems	violence
services	home
nations	Britain
disorders	epilepsy
infrastructure	housing
infrastructure	facilities
problems	water
disorders	disease
disorders	sclerosis
places	Canada
places	Russia
infrastructure	systems
allies	Japan
services	development
matters	divorce
bodies	Council
places	India
elements	zinc
data	rates
