Source,Target
93,120
0,93
1,93
2,93
3,93
4,93
96,120
11,96
94,96
5,94
6,94
7,94
95,94
8,95
9,95
10,95
97,96
12,97
13,97
14,97
98,96
15,98
16,98
17,98
101,96
23,101
24,101
25,101
26,101
27,101
28,101
29,101
30,101
99,101
18,99
19,99
100,101
20,100
21,100
22,100
102,120
31,102
32,102
103,102
33,103
45,103
52,103
53,103
54,103
104,103
34,104
35,104
36,104
105,103
37,105
106,105
38,106
107,105
39,107
40,107
41,107
42,107
43,107
108,103
44,108
109,103
46,109
47,109
48,109
49,109
50,109
51,109
113,102
65,113
66,113
67,113
68,113
86,113
110,113
55,110
56,110
112,113
60,112
61,112
62,112
63,112
64,112
111,112
57,111
58,111
59,111
115,113
81,115
116,115
82,116
83,116
84,116
85,116
117,113
87,117
88,117
89,117
121,113
114,121
69,114
70,114
71,114
72,114
73,114
74,114
75,114
76,114
77,114
78,114
79,114
80,114
119,120
92,119
118,119
90,118
91,118
