id,label
120,UN
93,interventions
0,humanitarian assistance
1,provision of goods and services
2,infrastructure
3,peacekeeping and security
4,institutional support
96,events
11,crisis
94,nature_impact
5,climate_change_mitigation
6,resource_management
7,forestry
95,pollution
8,air_pollution
9,land_pollution
10,climate_change
97,natural_disaster
12,flooding
13,drought
14,storm
98,weather
15,climate
16,precipitation
17,temperature
101,human
23,physical_insecurity
24,conflict
25,economic_crisis
26,disarmament
27,human_migration
28,health_intervention
29,famine
30,death
99,political
18,political_instability
19,independence
100,agriculture
20,food_production
21,farming
22,planting
102,entities
31,food_availability
32,GPE
103,natural
33,chemical
45,watershed
52,crop
53,livestock
54,pest
104,biology
34,ecosystem
35,flora
36,fauna
105,natural_resources
37,solar_radiation
106,biotic_resources
38,biotic_resources
107,abiotic_resources
39,land
40,water
41,material
42,resource
43,air
108,soil
44,soil_contents
109,crop_technology
46,crop_storage
47,fertilizer
48,irrigation
49,pesticide
50,management
51,product
113,human
65,livelihood
66,farming
67,fishery
68,education
86,population
110,health
55,nutrient
56,disease
112,infrastructure
60,water_management
61,shipping_facilities_water
62,shipping_facilities_air
63,electrical
64,building
111,transportation
57,transportation_methods
58,road
59,bridge
115,government
81,government_entity
116,government_actions
82,regulation
83,census
84,organization
85,duty
117,food
87,food_price
88,food_security
89,food_insecurity
121,financial
114,economic
69,export
70,import
71,currency
72,budget
73,market
74,economy
75,inflation
76,depreciation
77,fuel
78,revenue
79,assets
80,poverty
119,temporal
92,month
118,seasons
90,crop_season
91,season
